Varlık,Fiyat,EMA_Durumu,RSI,StochRSI,TSI,SSL&EMA_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,Supertrend_Sinyal,Alim_Bandi,Satim_Bandi,BB_Fiyat_Durum,BB_Sikisma,BB_Bant_Durum,Destek_Direnc
AYEN,31.2,1.36,44.54,44.29,-0.82,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA200 Destek: 30.83 (%1.2 altta) | EMA21 Direnç: 31.67 (%1.5 üstte)
AYES,29.0,10.62,40.16,20.44,-0.88,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Düşüş Trendinde,-,35.06-37.52 (%20.9 üstte),🚨Fiyat Bandın Altında!,🚨 BB SIKIŞMA,-0.25,EMA200 Destek: 26.22 (%9.6 altta) | EMA5 Direnç: 29.70 (%2.4 üstte)
AYGAZ,332.0,35.11,61.93,6.51,-0.0,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,205.50-210.00 (%36.7 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 328.80 (%1.0 altta)
AZTEK,3.73,0.12,33.52,41.76,-0.88,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 3.73 (%0.1 altta) | EMA21 Direnç: 3.97 (%6.5 üstte)
BAGFS,28.9,9.85,70.01,71.78,0.29,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,-,35.82-38.88 (%23.9 üstte),🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,0.54,EMA200 Destek: 28.75 (%0.5 altta)
BAHKM,154.9,43.47,59.33,50.37,0.79,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🔴 SAT,🩸 SAT (Zirveden Dönüş),-,🟢 Yükseliş Trendinde,108.20-113.00 (%27.0 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 147.40 (%4.8 altta) | EMA5 Direnç: 160.84 (%3.8 üstte)
BAKAB,38.92,1.15,37.73,65.24,-0.86,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,35.84-38.26 (%1.7 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 38.48 (%1.1 altta) | EMA21 Direnç: 40.96 (%5.2 üstte)
BALAT,71.1,-0.98,48.93,70.61,0.41,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,108.60-112.20 (%52.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Direnç: 71.80 (%1.0 üstte)
BALSU,9.16,2.71,37.59,49.29,-0.91,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,20.76-21.29 (%126.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 8.92 (%2.6 altta) | EMA21 Direnç: 10.33 (%12.7 üstte)
BANVT,151.9,0.47,42.74,34.78,-0.81,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,181.80-189.50 (%19.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 151.18 (%0.5 altta) | EMA21 Direnç: 154.41 (%1.7 üstte)
BARMA,9.33,4.78,20.95,100.0,-0.74,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 8.90 (%4.6 altta) | EMA21 Direnç: 12.70 (%36.2 üstte)
BASCM,13.88,0.68,52.03,43.93,-0.49,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,17.00-18.00 (%22.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA55 Destek: 13.86 (%0.1 altta) | EMA100 Direnç: 14.05 (%1.2 üstte)
BASGZ,45.42,3.03,55.86,56.88,0.0,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,45.90-47.70 (%1.1 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA55 Destek: 45.25 (%0.4 altta) | EMA100 Direnç: 45.59 (%0.4 üstte)
BAYRK,4.25,0.41,44.97,22.72,-0.79,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,5.05-5.38 (%18.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 4.23 (%0.4 altta) | EMA21 Direnç: 4.32 (%1.5 üstte)
BEGYO,3.45,0.78,43.79,26.62,-0.84,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,4.47-4.66 (%29.6 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 3.42 (%0.8 altta) | EMA21 Direnç: 3.50 (%1.5 üstte)
BERA,14.11,3.53,56.75,75.45,0.14,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 13.84 (%1.9 altta) | EMA55 Direnç: 14.22 (%0.8 üstte)
BESLR,13.32,2.42,55.03,52.96,-0.08,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA55 Destek: 13.20 (%0.9 altta) | EMA100 Direnç: 13.45 (%1.0 üstte)
BESTE,32.8,999,51.57,64.73,-0.41,-,🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 32.75 (%0.1 altta)
BETAE,90.05,999,51.64,19.78,-0.87,-,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,-,0.0,EMA5 Destek: 85.56 (%5.0 altta) | EMA21 Direnç: 90.44 (%0.4 üstte)
BEYAZ,23.06,2.66,48.28,55.82,-0.7,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,24.18-26.96 (%4.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Destek: 23.01 (%0.2 altta) | EMA55 Direnç: 24.27 (%5.2 üstte)
BFREN,129.2,1.09,51.07,51.21,-0.7,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,165.20-172.80 (%27.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 128.51 (%0.5 altta) | EMA55 Direnç: 130.96 (%1.4 üstte)
BIENY,20.6,-1.93,41.05,0.41,-0.37,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,40.00-43.98 (%94.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Direnç: 21.00 (%2.0 üstte)
BIGCH,5.76,1.52,41.98,52.06,-0.76,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,6.54-7.21 (%13.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 5.67 (%1.5 altta) | EMA21 Direnç: 5.98 (%3.8 üstte)
BIGEN,110.6,77.65,35.19,0.0,-0.44,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 95.79 (%13.4 altta) | EMA55 Direnç: 121.59 (%9.9 üstte)
BIGTK,271.5,-8.94,36.27,11.89,-0.63,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,205.10-209.70 (%22.8 altta),-,🚨Fiyat Bandın Altında!,⚪ Yelpaze Açık,-2.35,EMA100 Direnç: 298.17 (%9.8 üstte)
BIMAS,426.0,22.04,65.17,71.39,0.25,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,252.43-261.79 (%38.5 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 418.59 (%1.7 altta)
BINBN,175.1,0.4,46.86,17.4,-0.77,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,155.00-162.70 (%7.1 altta),184.00-196.60 (%5.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA200 Destek: 174.41 (%0.4 altta) | EMA5 Direnç: 175.14 (%0.0 üstte)
BINHO,9.56,0.61,42.77,13.04,-0.88,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,8.39-8.56 (%10.5 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 9.50 (%0.6 altta) | EMA100 Direnç: 9.89 (%3.4 üstte)
BIOEN,18.75,2.29,50.63,18.67,-0.65,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,16.78-17.29 (%7.8 altta),25.48-27.68 (%35.9 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 18.34 (%2.2 altta) | EMA21 Direnç: 18.80 (%0.3 üstte)
BIZIM,26.0,6.0,63.27,72.83,-0.13,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔥 AL (Taze Kırılım),-,25.80-28.06 (fiyat bandın içinde!),🚨Fiyat Bandın Üzerinde!,🟡 Normal Genişlik,1.13,EMA100 Destek: 25.74 (%1.0 altta) | EMA200 Direnç: 26.53 (%2.0 üstte)
BJKAS,2.35,28.28,54.58,18.76,-0.82,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,1.44-1.46 (%37.9 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 2.24 (%4.7 altta)
BLCYT,2.35,9.69,60.94,75.62,0.47,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,3.68-4.02 (%56.7 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 2.26 (%4.0 altta) | EMA100 Direnç: 2.53 (%7.8 üstte)
BLUME,38.34,1.21,47.2,5.58,-0.77,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,30.68-32.10 (%16.3 altta),59.25-61.30 (%54.5 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA55 Destek: 37.88 (%1.2 altta) | EMA100 Direnç: 38.46 (%0.3 üstte)
BMSCH,10.3,-0.78,29.89,42.01,-0.95,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,30.40-33.44 (%195.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 10.38 (%0.8 üstte)
BMSTL,44.06,0.27,46.56,35.73,-0.64,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,38.40-43.20 (%2.0 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 43.97 (%0.2 altta) | EMA100 Direnç: 44.22 (%0.4 üstte)
BNTAS,6.38,0.91,52.31,58.12,-0.58,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,7.04-7.60 (%10.3 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA55 Destek: 6.36 (%0.3 altta) | EMA100 Direnç: 6.43 (%0.8 üstte)
BOBET,24.6,27.31,74.35,85.24,0.77,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,-,-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,3.6,EMA5 Destek: 23.08 (%6.2 altta)
BORLS,3.03,-9.2,21.0,1.39,-0.97,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,2.66-2.72 (%10.2 altta),6.88-7.79 (%127.1 üstte),🚨Fiyat Bandın Altında!,⚪ Yelpaze Açık,-1.34,EMA5 Direnç: 3.34 (%10.1 üstte)
BORSK,6.72,8.68,61.9,86.38,0.75,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 6.69 (%0.5 altta)
BOSSA,6.55,0.78,50.82,54.0,-0.56,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,6.05-6.47 (%1.2 altta),7.12-7.44 (%8.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA100 Destek: 6.54 (%0.1 altta) | EMA200 Direnç: 6.66 (%1.7 üstte)
BRISA,78.75,1.87,50.59,73.29,-0.57,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,78.75-85.00 (fiyat bandın içinde!),🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA21 Destek: 78.09 (%0.8 altta) | EMA55 Direnç: 80.85 (%2.7 üstte)
BRKO,12.0,4.33,49.34,28.06,0.1,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA200 Destek: 11.50 (%4.1 altta) | EMA5 Direnç: 12.04 (%0.3 üstte)
BRKSN,7.85,0.83,50.75,25.02,-0.47,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,7.04-7.25 (%7.6 altta),8.33-8.67 (%6.2 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Destek: 7.83 (%0.2 altta) | EMA55 Direnç: 7.89 (%0.5 üstte)
BRKVY,85.2,1.47,52.85,39.92,0.71,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🟢 Yükseliş Trendinde,-,90.90-101.00 (%6.7 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 84.01 (%1.4 altta) | EMA100 Direnç: 86.33 (%1.3 üstte)
BRLSM,19.48,17.28,50.94,24.33,0.22,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🔴 Düşüş Trendinde,15.15-16.20 (%16.8 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 18.47 (%5.2 altta) | EMA21 Direnç: 19.59 (%0.5 üstte)
BRMEN,12.34,-1.96,30.9,5.76,-0.97,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,6.30-7.00 (%43.3 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 12.59 (%2.0 üstte)
BRSAN,719.5,26.12,60.79,27.15,0.02,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,🟡 RİSKLİ AL (0 Üstü - Hacimsiz),-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 715.71 (%0.5 altta)
BRYAT,1709.0,1.35,48.62,56.84,-0.51,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,2355.55-2459.57 (%37.8 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 1706.72 (%0.1 altta) | EMA55 Direnç: 1778.47 (%4.1 üstte)
BSOKE,21.12,-7.66,22.58,25.32,-0.98,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Düşüş Trendinde,14.31-15.26 (%27.7 altta),-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 22.87 (%8.3 üstte)
BTCIM,3.99,2.08,33.6,39.0,-0.92,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,3.67-3.78 (%5.3 altta),6.35-6.63 (%59.1 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 3.91 (%2.0 altta) | EMA21 Direnç: 4.35 (%9.1 üstte)
BUCIM,5.83,5.38,62.86,65.84,0.75,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,6.27-6.45 (%7.5 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 5.78 (%0.8 altta) | EMA200 Direnç: 6.03 (%3.4 üstte)
BULGS,30.96,-1.25,24.24,26.33,-0.92,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 31.35 (%1.3 üstte)
BURCE,33.74,0.63,39.46,52.82,-0.83,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,40.58-43.64 (%20.3 üstte),⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 33.53 (%0.6 altta) | EMA21 Direnç: 35.01 (%3.8 üstte)
BURVA,675.0,-0.14,39.34,40.7,-0.85,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,1146.00-1245.00 (%69.8 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 675.91 (%0.1 üstte)
BVSAN,133.8,22.24,74.67,70.42,0.54,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 Yükseliş Trendinde,96.10-101.30 (%24.3 altta),-,🚨Fiyat Bandın Üzerinde!,⚪ Yelpaze Açık,8.83,EMA5 Destek: 117.05 (%12.5 altta)
BYDNR,35.12,2.16,30.33,0.0,-0.88,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,-,-,🚨Fiyat Bandın Altında!,🟡 Normal Genişlik,-0.81,EMA200 Destek: 34.38 (%2.1 altta) | EMA5 Direnç: 36.02 (%2.6 üstte)
CANTE,1.34,4.72,60.3,59.86,0.83,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,-,1.87-1.96 (%39.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 1.33 (%0.8 altta) | EMA100 Direnç: 1.41 (%5.0 üstte)
CASA,69.6,0.01,48.41,55.41,0.3,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,🟢 Yükseliş Trendinde,-,-,🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA5 Destek: 69.59 (%0.0 altta) | EMA21 Direnç: 69.73 (%0.2 üstte)
CATES,65.55,47.92,58.87,3.87,0.3,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🔴 SAT,-,-,🟢 Yükseliş Trendinde,38.96-40.52 (%38.2 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA21 Destek: 62.60 (%4.5 altta) | EMA5 Direnç: 66.15 (%0.9 üstte)
CCOLA,80.25,10.56,47.38,89.48,-0.15,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,64.58-67.19 (%16.3 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🟡 Normal Genişlik,0.0,EMA5 Destek: 79.72 (%0.7 altta) | EMA100 Direnç: 80.27 (%0.0 üstte)
CELHA,26.58,62.53,60.46,58.13,-0.45,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟢 AL (Trend Onaylı),-,-,🟢 Yükseliş Trendinde,8.92-9.96 (%62.5 altta),-,🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 25.60 (%3.7 altta)
CEMAS,4.24,1.17,51.95,35.83,-0.34,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,3.97-4.14 (%2.4 altta),5.05-5.24 (%19.1 üstte),🟡Fiyat Orta-Üst Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Destek: 4.20 (%1.0 altta) | EMA55 Direnç: 4.29 (%1.2 üstte)
CEMTS,8.97,1.29,51.98,83.89,-0.47,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,-,11.09-11.57 (%23.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 8.88 (%1.0 altta) | EMA55 Direnç: 9.17 (%2.3 üstte)
CEMZY,14.74,26.35,49.57,22.02,-0.89,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⏳ BEKLE,-,-,🟢 Yükseliş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA55 Destek: 14.29 (%3.1 altta) | EMA5 Direnç: 14.83 (%0.6 üstte)
CEOEM,24.96,1.76,53.03,55.65,-0.46,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Düşüş Trendinde,-,27.26-30.44 (%9.2 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA100 Destek: 24.94 (%0.1 altta) | EMA200 Direnç: 25.45 (%2.0 üstte)
CGCAM,32.76,-0.38,33.74,43.68,-0.87,🔴 Ayı Piyasası (EMA 50 En Altta),⏳ BEKLE,-,-,🔴 Düşüş Trendinde,-,44.46-49.22 (%35.7 üstte),⚪Fiyat Alt_Orta Bant Aralığında,⚪ Yelpaze Açık,0.0,EMA5 Direnç: 32.88 (%0.4 üstte)
CIMSA,46.18,2.14,53.29,70.66,-0.35,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,51.55-53.90 (%11.6 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Destek: 45.41 (%1.7 altta) | EMA55 Direnç: 46.76 (%1.3 üstte)
CLEBI,1471.0,0.65,47.59,55.23,-0.7,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Düşüş Trendinde,-,-,⚪Fiyat Alt_Orta Bant Aralığında,🟠 Daralıyor,0.0,EMA5 Destek: 1461.56 (%0.6 altta) | EMA21 Direnç: 1474.82 (%0.3 üstte)
CMBTN,1559.0,0.99,50.06,62.03,-0.59,🔴 Ayı Piyasası (EMA 50 En Altta),🟢 AL (Trend Onaylı),-,-,🔴 Düşüş Trendinde,1498.00-1525.00 (%2.2 altta),2040.00-2189.00 (%30.9 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🟠 Daralıyor,0.0,EMA21 Destek: 1553.68 (%0.3 altta) | EMA55 Direnç: 1581.95 (%1.5 üstte)
CMENT,243.0,-2.48,23.29,0.0,-0.93,🔴 Ayı Piyasası (EMA 50 En Altta),🔴 SAT,-,🟢 POTANSİYEL DİP,🔴 Düşüş Trendinde,-,328.00-342.25 (%35.0 üstte),🚨Fiyat Bandın Altında!,⚪ Yelpaze Açık,-0.89,EMA5 Direnç: 249.18 (%2.5 üstte)
CONSE,2.32,1.41,50.53,77.6,0.19,🔴 Ayı Piyasası (EMA 50 En Altta),🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,🔴 Düşüş Trendinde,-,3.58-3.73 (%54.3 üstte),🟡Fiyat Orta-Üst Bant Aralığında,🚨 BB SIKIŞMA,0.0,EMA21 Destek: 2.30 (%1.0 altta) | EMA55 Direnç: 2.44 (%5.3 üstte)
